종목코드,(All),,,,,
,,,,,,
Row Labels,Sum of 현재가,Sum of 전일비,Sum of 등락률,Sum of 거래량,Count of PER,Count of ROE
3S,2085,10,-0.0048,121844,1,1
AJ네트웍스,3445,60,0.0177,246367,1,1
AK홀딩스,17150,550,-0.0311,43745,1,1
APS홀딩스,8000,30,-0.0037,163872,1,1
AP시스템,21800,200,-0.0091,102897,1,1
AP위성,7000,100,-0.0141,26919,1,1
ARIRANG 200,31400,205,-0.0065,112546,1,1
ARIRANG 200동일가중,8480,35,-0.0041,21,1,1
ARIRANG 200선물레버리지,26730,345,-0.0127,3355,1,1
ARIRANG 200선물인버스2X,8260,95,0.0116,237565,1,1
ARIRANG ESG우수기업,7775,30,-0.0038,55,1,1
ARIRANG KRX300,14585,110,-0.0075,31,1,1
ARIRANG KRX300IT,13885,125,-0.0089,4029,1,1
ARIRANG KRX300헬스케어,13055,85,-0.0065,1342,1,1
ARIRANG KS로우볼가중TR,10620,30,-0.0028,51,1,1
ARIRANG KS로우사이즈가중TR,12250,160,-0.0129,50,1,1
ARIRANG KS모멘텀가중TR,12390,100,-0.008,55,1,1
ARIRANG KS밸류가중TR,11395,55,-0.0048,50,1,1
ARIRANG KS퀄리티가중TR,12280,70,-0.0057,50,1,1
ARIRANG S&P글로벌인프라,9880,130,-0.013,187,1,1
ARIRANG 고배당저변동50,8735,30,-0.0034,2166,1,1
ARIRANG 고배당주,9160,15,-0.0016,30002,1,1
ARIRANG 고배당주채권혼합,9840,10,-0.001,126,1,1
ARIRANG 국채선물10년,58260,85,-0.0015,110,1,1
ARIRANG 국채선물3년,53560,5,0.0001,2,1,1
ARIRANG 글로벌MSCI(합성 H),14300,190,-0.0131,147,1,1
ARIRANG 단기채권액티브,105655,0,0,52,1,1
ARIRANG 미국S&P500(H),14160,55,0.0039,11174,1,1
ARIRANG 미국나스닥기술주,18170,85,0.0047,9131,1,1
ARIRANG 미국다우존스고배당주(합성 H),11310,10,0.0009,845,1,1
ARIRANG 미국단기우량회사채,97125,290,0.003,145,1,1
ARIRANG 미국장기우량회사채,103235,105,-0.001,346,1,1
ARIRANG 선진국MSCI(합성 H),9810,220,-0.0219,1035,1,1
ARIRANG 스마트베타Quality채권혼합,10390,5,-0.0005,128,1,1
ARIRANG 신흥국MSCI(합성 H),10865,65,-0.0059,16982,1,1
ARIRANG 심천차이넥스트(합성),11490,110,-0.0095,1978,1,1
ARIRANG 우량회사채50 1년,108280,5,0,318651,1,1
ARIRANG 주도업종,8900,30,-0.0034,48,1,1
ARIRANG 중형주저변동50,9020,90,-0.0099,150,1,1
ARIRANG 코스닥150,12605,65,-0.0051,407,1,1
ARIRANG 코스닥150선물인버스,8660,70,0.0081,39384,1,1
ARIRANG 코스피,23730,140,-0.0059,87,1,1
ARIRANG 코스피50,21840,145,-0.0066,184,1,1
ARIRANG 코스피TR,11525,60,-0.0052,21137,1,1
ARIRANG 코스피중형주,9150,100,-0.0108,40,1,1
BGF,4170,5,0.0012,95481,1,1
BGF리테일,122000,2000,0.0167,39424,1,1
BNK금융지주,5350,60,0.0113,1546178,1,1
BYC,219500,1500,-0.0068,634,1,1
BYC우,119000,500,0.0042,229,1,1
CJ,80200,200,0.0025,57785,1,1
CJ CGV,21700,100,-0.0046,207050,1,1
CJ ENM,137400,200,0.0015,99083,1,1
CJ4우(전환),58700,400,0.0069,5893,1,1
CJ대한통운,181000,500,-0.0028,60336,1,1
CJ씨푸드,4515,70,0.0157,33714043,1,1
CJ씨푸드1우,45900,600,-0.0129,14437,1,1
CJ우,47450,250,-0.0052,5199,1,1
CJ제일제당,387500,3500,-0.009,35944,1,1
CJ제일제당 우,160000,2000,-0.0123,7561,1,1
CJ프레시웨이,16950,200,-0.0117,60423,1,1
CMG제약,4400,10,-0.0023,1953952,1,1
CNH,1650,10,0.0061,56265,1,1
CS,2445,35,-0.0141,80391,1,1
CSA 코스믹,3110,220,0.0761,202610,1,1
CS홀딩스,55900,2400,0.0449,69512,1,1
DB,698,2,0.0029,575249,1,1
DB금융스팩7호,2045,15,0.0074,24469,1,1
DB금융투자,3865,30,-0.0077,78729,1,1
DB손해보험,44450,50,0.0011,77940,1,1
DB하이텍,36100,250,0.007,474602,1,1
DB하이텍1우,135500,13000,-0.0875,13809,1,1
DGB금융지주,6210,150,0.0248,2030327,1,1
DI동일,84800,800,-0.0093,8229,1,1
DMS,8720,330,-0.0365,406416,1,1
DRB동일,6690,80,-0.0118,69656,1,1
DSC인베스트먼트,3655,295,-0.0747,1802580,1,1
DSR,6530,230,-0.034,332460,1,1
